timestamp,port,linkState,SNR,FEC_Correctable,FEC_Uncorrectable,CRCErrorCount,Temperature,Voltage,FanSpeed,Humidity,Airflow,AmbientTemperature,OpticalRxPower,OpticalTxPower,LinkLatency,CableLengthEstimate,ConnectorInsertionCount
2025-05-13 14:48:38,port1,up,27.039,0.0,0.0,0.0,36.659,3.285,2821.311,35.211,14.56,20.926,-4.703,0.997,32.218,10.0,5
2025-05-13 14:48:39,port1,up,36.766,0.0,0.0,0.0,34.392,3.346,3149.114,44.308,14.958,23.654,-7.49,-0.001,39.127,10.0,5
2025-05-13 14:48:40,port1,up,31.663,0.0,0.0,0.0,35.782,3.393,3059.47,46.715,19.049,21.682,-5.714,0.315,47.53,10.0,5
2025-05-13 14:48:41,port1,up,29.536,0.0,0.0,0.0,34.558,3.218,3254.167,47.884,16.797,22.991,-7.285,-0.063,55.837,10.0,5
2025-05-13 14:48:42,port1,up,28.269,0.0,0.0,0.0,34.986,3.099,2989.504,43.855,17.019,21.297,-5.099,-0.175,43.818,10.0,5
2025-05-13 14:48:43,port1,up,30.023,0.0,0.0,0.0,35.433,3.157,2661.62,46.208,16.437,22.041,-6.832,0.351,62.39,10.0,5
2025-05-13 14:48:44,port1,up,32.351,0.0,0.0,0.0,35.443,3.127,3085.243,45.56,15.46,20.534,-3.822,-0.292,43.986,10.0,5
2025-05-13 14:48:45,port1,up,34.875,0.0,0.0,0.0,34.467,3.262,3162.808,43.909,16.357,21.193,-4.805,0.336,49.764,10.0,5
2025-05-13 14:48:46,port1,up,31.075,0.0,0.0,0.0,34.022,3.069,2741.426,48.094,16.535,21.863,-4.001,0.595,52.72,10.0,5
2025-05-13 14:48:47,port1,up,31.451,0.0,0.0,0.0,35.114,3.37,3132.079,44.499,15.294,21.277,-4.088,-0.211,57.935,10.0,5
2025-05-13 14:48:48,port1,up,30.021,0.0,0.0,0.0,35.509,3.247,2995.032,38.248,14.898,20.75,-4.967,0.789,67.694,10.0,5
2025-05-13 14:48:49,port1,up,26.222,0.0,0.0,0.0,36.052,3.455,3037.687,49.593,17.917,24.281,-5.836,0.127,65.965,10.0,5
2025-05-13 14:48:50,port1,up,36.771,0.0,0.0,0.0,34.306,3.229,3065.521,50.919,15.168,19.974,-5.708,0.161,45.492,10.0,5
2025-05-13 14:48:51,port1,up,27.707,0.0,0.0,0.0,35.465,3.449,2932.501,45.923,14.998,20.873,-5.667,-0.155,59.159,10.0,5
2025-05-13 14:48:52,port1,up,27.665,0.0,0.0,0.0,36.067,3.359,2916.311,48.011,14.955,21.349,-4.981,0.7,48.96,10.0,5
2025-05-13 14:48:53,port1,up,32.657,0.0,0.0,0.0,34.698,3.284,3089.856,47.493,12.651,21.57,-3.915,-0.79,48.828,10.0,5
2025-05-13 14:48:54,port1,up,36.085,0.0,0.0,0.0,34.771,3.382,2750.438,50.708,16.174,21.44,-6.22,0.167,63.348,10.0,5
2025-05-13 14:48:55,port1,up,33.174,0.0,0.0,0.0,35.424,3.102,2961.901,38.223,16.26,22.046,-4.03,0.61,59.418,10.0,5
2025-05-13 14:48:56,port1,up,32.89,1.0,0.0,0.0,34.025,3.166,3136.126,47.598,18.6,21.938,-4.802,-0.37,50.039,10.0,5
2025-05-13 14:48:57,port1,up,28.667,1.0,0.0,0.0,35.737,3.24,2884.082,43.425,14.885,21.878,-4.232,-0.181,67.08,10.0,5
2025-05-13 14:48:58,port1,up,30.576,1.0,0.0,0.0,33.904,3.399,3177.698,48.645,17.739,20.205,-4.505,-0.207,42.604,10.0,5
2025-05-13 14:48:59,port1,up,37.605,1.0,0.0,0.0,34.516,3.309,2833.134,41.54,16.018,22.755,-6.482,0.56,63.247,10.0,5
2025-05-13 14:49:00,port1,up,30.863,1.0,0.0,0.0,34.527,3.313,3021.435,37.326,16.188,22.744,-4.338,0.447,40.34,10.0,5
2025-05-13 14:49:01,port1,up,32.154,1.0,0.0,0.0,36.265,3.275,2867.252,45.576,11.36,21.053,-4.596,0.436,43.405,10.0,5
2025-05-13 14:49:02,port1,up,33.821,1.0,0.0,0.0,34.908,3.264,3012.468,51.779,17.665,20.447,-5.685,-0.343,52.524,10.0,5
2025-05-13 14:49:03,port1,up,30.31,1.0,0.0,0.0,35.902,3.494,2990.93,49.972,12.979,22.274,-3.431,-0.17,39.401,10.0,5
2025-05-13 14:49:04,port1,up,28.443,1.0,0.0,0.0,35.823,3.215,2993.816,49.205,15.656,22.801,-4.379,0.276,60.341,10.0,5
2025-05-13 14:49:05,port1,up,31.231,1.0,0.0,0.0,36.028,3.347,3065.75,44.304,15.394,23.073,-3.951,-0.487,38.998,10.0,5
2025-05-13 14:49:06,port1,up,31.817,1.0,0.0,0.0,33.947,3.356,3274.135,36.211,14.341,23.971,-4.119,-0.338,65.621,10.0,5
2025-05-13 14:49:07,port1,up,29.957,1.0,0.0,0.0,34.848,3.236,3419.366,38.531,14.294,21.615,-5.965,0.245,40.777,10.0,5
2025-05-13 14:49:08,port1,up,22.18,1.0,0.0,0.0,37.791,3.523,2604.136,48.352,14.34,22.426,-3.439,-0.168,46.396,10.0,5
2025-05-13 14:49:09,port1,up,33.478,1.0,0.0,0.0,33.567,3.146,2462.359,41.766,12.806,22.135,-4.58,0.113,52.572,10.0,5
2025-05-13 14:49:10,port1,up,27.297,1.0,0.0,0.0,35.235,3.275,2963.316,48.066,16.056,21.088,-2.743,-0.318,55.988,10.0,5
2025-05-13 14:49:11,port1,up,33.678,1.0,0.0,0.0,34.426,3.417,2761.782,38.889,16.043,22.258,-3.204,0.218,40.591,10.0,5
2025-05-13 14:49:12,port1,up,25.097,1.0,0.0,0.0,34.646,3.401,3115.206,42.373,14.244,21.879,-6.499,0.319,54.622,10.0,5
2025-05-13 14:49:13,port1,up,32.917,1.0,0.0,0.0,34.76,3.109,3106.32,46.729,13.779,21.334,-4.164,-0.825,41.126,10.0,5
2025-05-13 14:49:14,port1,up,32.096,1.0,0.0,0.0,34.613,3.341,2866.259,50.014,13.56,21.656,-4.313,0.59,46.888,10.0,5
2025-05-13 14:49:15,port1,up,35.633,1.0,0.0,0.0,35.615,3.229,2980.294,43.841,17.808,22.549,-4.758,1.401,59.185,10.0,5
2025-05-13 14:49:16,port1,up,34.36,1.0,0.0,0.0,34.452,3.239,2801.609,35.703,17.95,21.239,-5.682,0.786,40.597,10.0,5
2025-05-13 14:49:17,port1,up,32.353,1.0,0.0,0.0,37.051,3.371,2943.08,41.362,13.432,20.558,-5.832,0.53,63.134,10.0,5
2025-05-13 14:49:18,port1,up,37.162,1.0,0.0,0.0,34.229,3.109,3019.706,48.396,11.596,21.305,-6.55,0.272,35.007,10.0,5
2025-05-13 14:49:19,port1,up,23.459,1.0,0.0,0.0,34.987,3.407,3027.335,47.419,14.088,20.477,-4.392,-0.817,56.286,10.0,5
2025-05-13 14:49:20,port1,up,33.583,1.0,0.0,0.0,35.831,3.323,3160.128,48.768,14.367,21.566,-4.23,-0.95,44.676,10.0,5
